Dealer,Endereço 1,Endereço 2,CNPJ
AGRINORTE LTDA,"ROD PA 256, KM 2 S/N",PARAGOMINAS PA 68625-970,04610082000147
AGRINORTE LTDA,AV JK DE OLIVEIRA 375,DOM ELISEU PA 68633-000,04610082000813
AGRINORTE LTDA,"ROD BR 316, KM 05 365-B",ANANINDEUA PA 67020-971,04610082000651
AGRINORTE LTDA,"ROD BR 155, KM 02 DISTR IND S/N",MARABA PA 68508-970,04610082000490
AGRINORTE LTDA,"AVE BRASIL (ALACID NUNES), LOJA S/N",REDENCAO PA 68550-005,04610082000309
AGRINORTE LTDA,"AV HENRIQUE VITA, LOTE 22 S/N",QUADRA 159 SANTANA DO ARAGUAIA PA 68560-000,04610082000902
AGRINORTE LTDA,"ROD SANTAREM CUIABA, KM 13 S/N",SANTAREM PA 68030-990,04610082000732
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,AV JOSE APARECIDO RIBEIRO 213 S,NOVA MUTUM MT 78450-500,01696819000521
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,AVENIDA DA PRODUCAO 1380-W,LUCAS DO RIO VERDE MT 78460-500,01696819000440
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,AV DOS TRABALHADORES 74,TAPURAH MT 78573-000,01696819000793
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,AVENIDA IDEMAR RIEDI 11790,SORRISO MT 78897-066,01696819000106
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,ROD MT 140 LOTE 16B S/N,SORRISO MT 78899-200,01696819000602
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,RUA JOAO PEDRO MOREIRA DE CARVALHO 3718,SINOP MT 78550-000,01696819000360
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,AV ITAUBA S/N,FELIZ NATAL MT 78885-000,01696819001250
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,AVENIDA COMENDADOR JOSE PEDRO DIAS 199,TABAPORA MT 78563-000,01696819001170
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,AVENIDA COLONIZADOR JOSE BIANCHINI 1669,MARCELANDIA MT 78535-000,01696819001331
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,"ROD BR 163, KM 1040 101",LOTE 01 QUADRA 01 MATUPA MT 78525-000,01696819000955
AGRO BAGGIO MAQUINAS AGRICOLAS LTDA,"ROD MT 208, 349",ALTA FLORESTA MT 78580-000,01696819000874
AGROSUL MAQUINAS LTDA,"AV AHYLON MACEDO, LOT MARIA PERC II 1074",BARREIRAS BA 47810-692,40512337000283
AGROSUL MAQUINAS LTDA,AV DIOCLESIO RAMOS 224,LUIS EDUARDO MAGALHAES BA 47850-000,40512337000100
AGROSUL MAQUINAS LTDA,"ROD BR 020, KM 138 S/N",SAO DESIDERIO BA 47827-970,40512337000607
AGROSUL MAQUINAS LTDA,"ROD BR 135, QUADRA 631, LOTE 1814",FORMOSA DO RIO PRETO BA 47990-000,40512337000798
AGROSUL MAQUINAS LTDA,"RUA CONTORNO, QUADRA 10 LOTE 01 A 08 S/N",CORRENTINA BA 47650-000,40512337000445
AGROSUL MAQUINAS LTDA,"ROD BR 135, KM 356 S/N",BOM JESUS PI 64900-000,40512337000364
AGROSUL MAQUINAS LTDA,AV ARI ROCHA 4488,BAIXA GRANDE DO RIBEIRO PI 64868-000,40512337000950
AGROSUL MAQUINAS LTDA,"ROD PI 247, KM 01 SALA 01 2150",URUCUI PI 64860-000,40512337000879
ALVORADA SISTEMAS AGRICOLAS LTDA,"ROD BR 285, KM 565 S/N",SAO LUIZ GONZAGA RS 97800-000,89122972000677
ALVORADA SISTEMAS AGRICOLAS LTDA,AV TANCREDO NEVES 1573,SAO BORJA RS 97670-000,89122972000162
ALVORADA SISTEMAS AGRICOLAS LTDA,AV BORGES DE MEDEIROS 2220,ITAQUI RS 97650-000,89122972000758
ALVORADA SISTEMAS AGRICOLAS LTDA,AV ASSIS BRASIL 2109,ALEGRETE RS 97545-080,89122972000324
ALVORADA SISTEMAS AGRICOLAS LTDA,AV ANTONIO TRILHA 836,SÃO GABRIEL RS 97306-064,89122972001649
ALVORADA SISTEMAS AGRICOLAS LTDA,RUA MAL SETEMBRINO DE CARVALHO 450,URUGUAIANA RS 97509-650,89122972000596
ALVORADA SISTEMAS AGRICOLAS LTDA,"ROD BR-153, KM 376, LT B 8405",CACHOEIRA DO SUL RS 96504-800,89122972001487
ALVORADA SISTEMAS AGRICOLAS LTDA,"R VINTE E UM DE ABRIL, LT B 2842",DOM PEDRITO RS 96450-000,89122972001720
ALVORADA SISTEMAS AGRICOLAS LTDA,"AV SANTA TECLA, LT B 3150",BAGE RS 96413-000,89122972001568
ALVORADA SISTEMAS AGRICOLAS LTDA,EST GERAL DE SERTAO DE SANTANA 150,BARRA DO RIBEIRO RS 92880-000,89122972001053
ALVORADA SISTEMAS AGRICOLAS LTDA,R JOSE JULIO CENTENO COUTINHO 711,CAMAQUA RS 96789-866,89122972001304
ALVORADA SISTEMAS AGRICOLAS LTDA,AV CEL NONO CENTENO 1006,SAO LOURENCO DO SUL RS 96170-000,89122972001215
ALVORADA SISTEMAS AGRICOLAS LTDA,AV PRESIDENTE JOAO BELCHIOR MARQUES GOULART 9396,BAIRRO FRAGATA PELOTAS RS 96055-030,89122972000839
ALVORADA SISTEMAS AGRICOLAS LTDA,LRG ALMIRANTE SALDANHA DA GAMA 344,SANTA VITORIA DO PALMAR RS 96230-000,89122972000910
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,AVENIDA PREFEITO ANDRE ANTONIO MAGGI 1139,SAPEZAL MT 78365-000,06220403000203
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,AV OLACIR FRANCISCO DE MORAES 2703,CAMPO NOVO DO PARECIS MT 78360-000,06220403000475
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,AV AMOS BERNADINO ZANCHET SN,NOVA MARINGA MT 78440-000,06220403001285
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,"AVENIDA LIONS INTERNACIONAL, SALA B, 1646-W",TANGARA DA SERRA MT 78300-000,06220403000122
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,AV MARECHAL CANDIDO RONDON 1215,BARRA DO BUGRES MT 78390-000,06220403001102
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,"RODOVIA MT 121, QUADRA 01, LOTE 8, S/N",DIAMANTINO MT 78400-000,06220403000394
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,AV RIO ARINOS 2319-S,GLEBA TAQUARAL JUARA MT 78575-000,06220403001447
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,RUA ELVINO R NOGUEIRA 1967,SAO GABRIEL DO OESTE MS 79490-000,06220403000637
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,AVE CORONEL ANTONINO 4217,CAMPO GRANDE MS 79016-000,06220403001013
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,AV DORVALINO DOS SANTOS 2681,SIDROLANDIA MS 79170-000,06220403001528
ASTER MAQUINAS E SOLUCOES INTEGRADAS LTDA,"AVE MARECHAL FLORIANO PEIXOTO, LOT 1 QDR S/N",MARACAJU MS 79150-000,06220403000718
CIARAMA MAQUINAS LTDA,RUA DOURADOS 595,ELDORADO MS 79970-000,04410878000318
CIARAMA MAQUINAS LTDA,"AV AMELIA FUKUDA, SALA 02 1237",NAVIRAI MS 79950-000,04410878000660
CIARAMA MAQUINAS LTDA,AV NICOLAU OTANO NUNES 1051,AMAMBAI MS 79990-000,04410878000237
CIARAMA MAQUINAS LTDA,R MARGARINO ALVES BRANDAO 509,LAGUNA CARAPA MS 79920-000,04410878000741
CIARAMA MAQUINAS LTDA,R AZIZ RASSELEN 695,DOURADOS MS 79822-059,04410878000822
CIARAMA MAQUINAS LTDA,ROD BR 463 KM 112 S/N,PONTA PORA MS 79904-976,04410878000156
CIARAMA MAQUINAS LTDA,ROD MS134 TRECHO N ANDRADINA/C VERDE 1057,CHAC 100 LT 2 SL 2 NOVA ANDRADINA MS 79750-000,04410878000580
CIARAMA MAQUINAS LTDA,RUA BENJAMIN CONSTANT 3043,RIO BRILHANTE MS 79130-000,04410878000903
CIARAMA MAQUINAS LTDA,"ROD MS 384, KM 101 S/N",ESQ PROLONG ALADINO BERNAL BELA VISTA MS 79260-000,04410878000407
D CARVALHO COMERCIO DE MAQUINAS AGRICOLAS LTDA,AV ALAYDE FERRAZ DE ALMEIDA 364,PENAPOLIS SP 16300-000,74376401000349
D CARVALHO COMERCIO DE MAQUINAS AGRICOLAS LTDA,"ROD MARECHAL RONDON, KM 526",515M PISTA LESTE ARACATUBA SP 16018-805,74376401000187
D CARVALHO COMERCIO DE MAQUINAS AGRICOLAS LTDA,RUA ALCIDES RIBEIRO DA CRUZ 91-12,AURIFLAMA SP 15350-000,74376401000420
D CARVALHO COMERCIO DE MAQUINAS AGRICOLAS LTDA,RUA GILDASIO COUTO 1376,ANDRADINA SP 16901-882,74376401000268
D CARVALHO COMERCIO DE MAQUINAS AGRICOLAS LTDA,V MG JOSE DANSIERI 745,DRACENA SP 17900-000,74376401000691
D CARVALHO COMERCIO DE MAQUINAS AGRICOLAS LTDA,AV JOAQUIM CONSTANTINO 3285,PRESIDENTE PRUDENTE SP 19063-008,74376401000500
HOHL MAQUINAS AGRICOLAS LTDA,ROD MARGEM DA ROD BR 153 GLEBA 1B,URUACU GO 76400-000,01608488001250
HOHL MAQUINAS AGRICOLAS LTDA,ROD GO-164 S/N,NOVA CRIXAS GO 76520-000,01608488001845
HOHL MAQUINAS AGRICOLAS LTDA,ROD GO-070 C/ GO-522 S/N,ITABERAI GO 76630-000,01608488001683
HOHL MAQUINAS AGRICOLAS LTDA,ROD BR 070 ESQ AV HELIODORO BARROS 299,"QD 01, LT 16/17 JUSSARA GO 76270-000",01608488001330
HOHL MAQUINAS AGRICOLAS LTDA,"R DOS MISSIONARIOS, QD 17B, LT 11/19 81",GOIANIA GO 74430-360,01608488000954
HOHL MAQUINAS AGRICOLAS LTDA,"ROD GO 330, KM 82, CX P 02 S/N",VIANOPOLIS GO 75260-000,01608488001411
HOHL MAQUINAS AGRICOLAS LTDA,"RUA RIO BRANCO, AREA 2 129",ACREUNA GO 75960-000,01608488001179
HOHL MAQUINAS AGRICOLAS LTDA,"ROD BR-158 C/ GO-060, KM 85 S/N",Piranhas GO 76230-000,01608488001500
IGUACU MAQUINAS AGRICOLAS LTDA,"AV SENADOR ATTILIO FONTANA, LOJA 4000",CAMPO VERDE MT 78840-000,33656729000501
IGUACU MAQUINAS AGRICOLAS LTDA,RODOVIA MT 130 KM 05 A DIREITA S/N,LOTE FAZENDA BOA VISTA PRIMAVERA DO LESTE MT 78850-000,33656729000250
IGUACU MAQUINAS AGRICOLAS LTDA,RODOVIA BR 163 KM 119 S/N,RONDONÓPOLIS MT 78746-055,33656729000170
IGUACU MAQUINAS AGRICOLAS LTDA,"ROD MT 130, LOTE 01 QUADRA 26 S/N",PARANATINGA MT 78870-000,33656729001737
IGUACU MAQUINAS AGRICOLAS LTDA,"AV 15 DE NOVEMBRO, SETOR INDUSTRIAL 1335",PARANATINGA MT 78870-000,33656729001656
IGUACU MAQUINAS AGRICOLAS LTDA,"AVE JOAO LEITE SCHMIDT, LOJA 1317",SONORA MS 79415-000,33656729001060
IGUACU MAQUINAS AGRICOLAS LTDA,"AV SETE DE SETEMBRO, LOJA 437",ALTO GARCAS MT 78770-000,33656729001141
IGUACU MAQUINAS AGRICOLAS LTDA,R IPE LESTE 1133,CHAPADAO DO CEU GO 75828-000,33656729001303
IGUACU MAQUINAS AGRICOLAS LTDA,"AV GOIAS, ANEXO A LOTE 0001 4050",QUADRA 0007 JATAI GO 75802-201,33656729002466
IGUACU MAQUINAS AGRICOLAS LTDA,"R BRASIL LESTE, SALA B/1 1031",CHAPADAO DO SUL MS 79560-000,33656729001494
IGUACU MAQUINAS AGRICOLAS LTDA,R OLIVERIO OLIVIO DE OLIVEIRA 43,"ANEXO A, MONTIVIDIU GO 75915-000",33656729002385
IGUACU MAQUINAS AGRICOLAS LTDA,"R BV 16, ANEXO A LOTE B 1215",RIO VERDE GO 75910-592,33656729002202
IGUACU MAQUINAS AGRICOLAS LTDA,"AV RANULPHO MARQUES LEAL, SL A/1 2923",TRES LAGOAS MS 79610-100,33656729001575
TRACBEL AGRO NOROESTE COMERCIO DE MAQUINAS AGRICOLAS LTDA,R AUREO FERNANDES FARIA 1855,JALES SP 15708-000,09507371000309
TRACBEL AGRO NOROESTE COMERCIO DE MAQUINAS AGRICOLAS LTDA,AV NASSER MARAO 6007,VOTUPORANGA SP 15504-000,09507371000481
TRACBEL AGRO NOROESTE COMERCIO DE MAQUINAS AGRICOLAS LTDA,AVENIDA ALFREDO FOLCHINI 660,SAO JOSE DO RIO PRETO SP 15081-500,09507371000139
TRACBEL AGRO NOROESTE COMERCIO DE MAQUINAS AGRICOLAS LTDA,"ROD COMANDANTE JOAO RIBEIRO DE BARROS, KM 253 C/250MT S/N",TUPA SP 17604-830,09507371000562
TRACBEL AGRO NOROESTE COMERCIO DE MAQUINAS AGRICOLAS LTDA,RUA BARAUNAS 151,CATANDUVA SP 15812-100,09507371000210
TRACBEL AGRO NOROESTE COMERCIO DE MAQUINAS AGRICOLAS LTDA,AV EUGENIO CONEGLIAN 2520,MARILIA SP 17512-050,09507371000643
SLC MAQUINAS LTDA,ROD BR 153 200,ERECHIM RS 99704-190,90055054001380
SLC MAQUINAS LTDA,"ROD RS-153, KM 01 320",PASSO FUNDO RS 99034-600,90055054001704
SLC MAQUINAS LTDA,R DINNY RIGUETO GERHARDT 90,CARAZINHO RS 99500-000,90055054002000
SLC MAQUINAS LTDA,"EST BR 285, SETOR B 5500",LAGOA VERMELHA RS 95300-000,90055054002190
SLC MAQUINAS LTDA,AV INDEPENDENCIA 10,PALMEIRA DAS MISSOES RS 98300-000,90055054001038
SLC MAQUINAS LTDA,ROD RS 324 SN,CASCA RS 99260-000,90055054001623
SLC MAQUINAS LTDA,"RUA DUQUE DE CAXIAS, LOJA 02 636",FREDERICO WESTPHALEN RS 98400-000,90055054001208
SLC MAQUINAS LTDA,AV OSVALDO JULIO WELANG 292,ESPUMOSO RS 99400-000,90055054001461
SLC MAQUINAS LTDA,"AV MILITAR, SETOR B 6987",VACARIA RS 95214-356,90055054003243
SLC MAQUINAS LTDA,"ROD BR 158, KM 195 1000",CRUZ ALTA RS 98040-605,90055054000147
SLC MAQUINAS LTDA,"ROD BR 285, KM 458 500",IJUI RS 98700-000,90055054000651
SLC MAQUINAS LTDA,"ROD ERS-122, KM 1.5, ANDAR 02 7520",CAXIAS DO SUL RS 95043-730,90055054002514
SLC MAQUINAS LTDA,R DAHNE DE ABREU 1152,HORIZONTINA RS 98920-000,90055054000732
SLC MAQUINAS LTDA,EST BR 386 2139,LAJEADO RS 95913-176,90055054003081
SLC MAQUINAS LTDA,EST RS 344 7452,SANTO ANGELO RS 98804-745,90055054000570
SLC MAQUINAS LTDA,AV PRESIDENTE GETULIO VARGAS 434,TUPANCIRETA RS 98170-000,90055054000902
SLC MAQUINAS LTDA,"ROD BR 158, KM268 931",JULIO DE CASTILHOS RS 98130-000,90055054003162
LAVRONORTE MAQUINAS LTDA,AV RIO PARNAIBA 1425,ALTO PARNAIBA MA 65810-000,05283031000544
LAVRONORTE MAQUINAS LTDA,"ROD TO 020, LOTE A S/N",CAMPOS LINDOS TO 77777-000,05283031000625
LAVRONORTE MAQUINAS LTDA,"AVE GOVERNADOR LUIZ ROCHA, LT 02 47",BALSAS MA 65800-000,05283031000110
LAVRONORTE MAQUINAS LTDA,ROD BR-010 175,IMPERATRIZ MA 65903-140,05283031000706
LAVRONORTE MAQUINAS LTDA,AV MARECHAL CASTELO BRANCO 3788,"QD 163, LT 10 SANTA INES MA 65306-000",05283031000897
LAVRONORTE MAQUINAS LTDA,"ROD MA 230, QUADRA 29 331",CHAPADINHA MA 65500-000,05283031000978
M.A. MAQUINAS AGRICOLAS LTDA,AV MARIPA 3612,MARECHAL CANDIDO RONDON PR 85960-000,01092817001090
M.A. MÁQUINAS AGRÍCOLAS LTDA,AV MINISTRO CIRNE LIMA 4291,TOLEDO PR 85904-460,01092817001171
M.A. MAQUINAS AGRICOLAS LTDA,"RUA 1 DE MAIO, CONJUNTO 2 001023",PALOTINA PR 85950-000,01092817000280
M.A. MAQUINAS AGRICOLAS LTDA,AV LONDRINA 362,JARDIM PARANA ASSIS CHATEAUBRIAND PR 85938-174,01092817000523
M.A. MAQUINAS AGRICOLAS LTDA,"ROD BR-277, KM 599 SOBRELOJA S/N",CASCAVEL PR 85804-600,01092817000108
M.A. MAQUINAS AGRICOLAS LTDA,AV 24 DE OUTUBRO 110,MEDIANEIRA PR 85884-000,01092817000361
M.A. MAQUINAS AGRICOLAS LTDA,AV DOS PIONEIROS 666,UBIRATA PR 85440-000,01092817000795
M.A. MAQUINAS AGRICOLAS LTDA,AV SANTOS DUMONT 1100,GOIOERE PR 87360-000,01092817000876
M.A. MAQUINAS AGRICOLAS LTDA.,RUA JAMIL HELU 1761,UMUARAMA PR 87507-015,01092817000604
M.A. MAQUINAS AGRICOLAS LTDA,AV PARAIBA 1550,CIANORTE PR 87209-128,01092817001252
M.A. MAQUINAS AGRICOLAS LTDA,"ROD BR 487, KM 194 S/N",CAMPO MOURAO PR 87301-450,01092817000957
MACPONTA MAQUINAS AGRICOLAS LTDA,RUA EDUARDO VAN DER LAARS S/N,BAIRRO NHAPINDAZAL IRATI PR 84500-536,00702079000364
MACPONTA MAQUINAS AGRICOLAS LTDA,R 12 DE OUTUBRO 21,PRUDENTOPOLIS PR 84400-000,00702079000607
MACPONTA MAQUINAS AGRICOLAS LTDA,AV SEN FLAVIO CARVALHO GUIMARAES 2100,"CX.P. 1666, PONTA GROSSA PR 84072-190",00702079000100
MACPONTA MAQUINAS AGRICOLAS LTDA,ROD BR 277 S/N,GUARAPUAVA PR 85031-350,00702079000526
MACPONTA MAQUINAS AGRICOLAS LTDA,RUA PREF RONIE CARDOSO 800,CASTRO PR 84174-105,00702079000283
MACPONTA MAQUINAS AGRICOLAS LTDA,AV MANOEL DAS DORES 891,TIBAGI PR 84300-000,09399077000150
MACPONTA MAQUINAS AGRICOLAS LTDA,ROD PARIGOT DE SOUZA PR 092 KM 231 S/N,ARAPOTI PR 84990-000,00702079000445
MACPONTA MAQUINAS AGRICOLAS LTDA,"AV IPE 1495, LOJA",QUEDAS DO IGUACU PR 85460-000,00702079000798
MAQCAMPO SOLUCOES AGRICOLAS S/A,"ROD BR 040, KM 94. CXA P 125 S/N",CRISTALINA GO 73850-000,00970771000454
MAQCAMPO SOLUCOES AGRICOLAS S/A,"ROD FREI JORGE, NORTE 7320",UNAI MG 38618-001,00970771000535
MAQCAMPO SOLUCOES AGRICOLAS S/A,"ROD BR 040, PROXIMO AO KM 44 1891",PARACATU MG 38600-001,00970771000705
MAQCAMPO SOLUCOES AGRICOLAS S/A,"ROD INCRA 9, NUCLEO RURAL ALEXANDRE GUSMAO KM 19","RODOVIA BR-070, LOTE S/N BRASILIA DF 72276-010",00970771000373
MAQCAMPO SOLUCOES AGRICOLAS S/A,"ROD BR 251, KM 7, SN S/N",BRASILIA DF 70275-970,00970771001930
MAQCAMPO SOLUCOES AGRICOLAS S/A,RUA RUA 34 QD 63 LOTES 13 E 15 S/N,FORMOSA GO 73814-195,00970771000616
